,5-fluorouracil
ACH-000379,0
ACH-000101,1
ACH-000227,1
ACH-000875,0
ACH-000882,0
ACH-000374,0
ACH-000501,0
ACH-000532,0
ACH-000627,1
ACH-000767,1
ACH-000902,1
ACH-000879,0
ACH-000977,1
ACH-000078,1
ACH-000293,0
ACH-000740,0
ACH-000001,0
ACH-000431,0
ACH-000823,1
ACH-000965,1
ACH-000168,1
ACH-000570,0
ACH-000947,1
ACH-000054,0
ACH-000562,1
ACH-000347,0
ACH-000129,0
ACH-000024,1
ACH-000873,1
ACH-000745,1
ACH-000559,0
ACH-000800,0
ACH-000885,1
ACH-000441,1
ACH-000118,0
ACH-000476,0
ACH-000132,0
ACH-000814,0
ACH-000573,0
ACH-000217,0
ACH-000420,0
ACH-000998,1
ACH-000149,0
ACH-000346,1
ACH-000486,1
ACH-000903,0
ACH-000747,0
ACH-000929,1
ACH-000759,0
ACH-000770,1
ACH-000465,0
ACH-000146,1
ACH-000830,0
ACH-000615,0
ACH-000211,0
ACH-000729,0
ACH-000585,0
ACH-000265,1
ACH-000816,1
ACH-000876,0
ACH-000698,0
ACH-000035,0
ACH-000373,1
ACH-000563,0
ACH-000999,0
ACH-000392,0
ACH-000647,0
ACH-000252,1
ACH-000945,0
ACH-000410,0
ACH-000233,1
ACH-000508,0
ACH-000102,1
ACH-000636,1
ACH-000482,0
ACH-000527,0
ACH-000637,0
ACH-000115,0
ACH-000900,0
ACH-000098,0
ACH-000802,1
ACH-000805,0
ACH-000619,0
ACH-000638,0
ACH-000015,0
ACH-000416,1
ACH-000381,0
ACH-000012,0
ACH-000969,1
ACH-000291,0
ACH-000792,1
ACH-000840,1
ACH-000962,1
ACH-000776,1
ACH-000720,0
ACH-000890,0
ACH-000423,0
ACH-000930,1
ACH-000401,1
ACH-000822,0
ACH-000081,1
ACH-000475,0
ACH-000231,1
ACH-000670,1
ACH-000257,1
ACH-000940,0
ACH-000372,1
ACH-000210,1
ACH-000718,0
ACH-000787,0
ACH-001075,1
ACH-000665,0
ACH-000955,1
ACH-000841,0
ACH-000008,1
ACH-000073,1
ACH-000699,0
ACH-000643,0
ACH-000298,0
ACH-000378,1
ACH-000950,1
ACH-000480,0
ACH-000703,1
ACH-000586,0
ACH-000290,1
ACH-000350,0
ACH-000457,1
ACH-000641,1
ACH-000939,1
ACH-000980,0
ACH-000447,0
ACH-000521,1
ACH-000358,0
ACH-000309,0
ACH-000504,0
ACH-000536,0
ACH-000783,0
ACH-000099,1
ACH-000348,1
ACH-000669,1
ACH-000408,0
ACH-000818,0
ACH-000644,0
ACH-000697,1
ACH-000249,0
ACH-000429,0
ACH-000366,1
ACH-000924,0
ACH-000091,0
ACH-000937,0
ACH-000442,1
ACH-000866,1
ACH-000191,0
ACH-000100,0
ACH-000189,0
ACH-000260,1
ACH-000399,0
ACH-000040,0
ACH-000610,0
ACH-000733,0
ACH-000440,0
ACH-001190,0
ACH-000391,0
ACH-000666,0
ACH-000223,0
ACH-000443,0
ACH-000786,1
ACH-000136,1
ACH-000142,0
ACH-000107,0
ACH-000518,1
ACH-000269,0
ACH-000264,0
ACH-000835,1
ACH-000702,1
ACH-000282,0
ACH-000546,1
ACH-000422,1
ACH-000067,0
ACH-000117,0
ACH-000628,1
ACH-000221,0
ACH-000790,1
ACH-000451,0
ACH-000292,0
ACH-000867,0
ACH-000087,1
ACH-000159,0
ACH-000062,0
ACH-000276,1
ACH-000055,1
ACH-000781,1
ACH-000111,0
ACH-000228,0
ACH-000888,0
ACH-000121,0
ACH-000483,0
ACH-000871,0
ACH-000717,0
ACH-000565,0
ACH-000186,0
ACH-000192,0
ACH-000895,0
ACH-000042,1
ACH-000789,1
ACH-000050,1
ACH-000354,0
ACH-000196,0
ACH-000254,0
ACH-000395,1
ACH-000116,0
ACH-000157,1
ACH-000621,1
ACH-000308,0
ACH-000694,0
ACH-000169,0
ACH-000743,1
ACH-000427,0
ACH-000238,0
ACH-000548,1
ACH-000161,0
ACH-000860,1
ACH-000560,0
ACH-000434,0
ACH-000456,0
ACH-000341,0
ACH-000021,0
ACH-000225,0
ACH-000058,0
ACH-000775,0
ACH-000364,0
ACH-000624,1
ACH-000414,1
ACH-000352,0
ACH-000349,0
ACH-000319,0
ACH-000181,1
ACH-000137,1
ACH-000766,1
ACH-000675,0
ACH-000389,1
ACH-000920,1
ACH-000351,0
ACH-000394,0
ACH-000744,1
ACH-000114,0
ACH-000795,0
ACH-000103,0
ACH-000144,0
ACH-000514,0
ACH-000864,0
ACH-000305,0
ACH-000603,1
ACH-000916,0
ACH-000978,0
ACH-000561,1
ACH-000052,1
